Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
Poland,Founded by former,Founded 2014,Undisclosed,50 - 249,0048537334606,"$5,000+",Puławska 39/20,GetInData | Part of Xebia,https://getindata.com/
Poland,"Software company providing AI-based solutions for Publishing, E-commerce & Financial industries, but not limiting itself just to them. Our team is eager to go beyond the frame and create functional technologies for every type of business.",Founded 2010,$50 - $99 / hr,50 - 249,519088052,"$25,000+",Marszałkowska 76,WEBSENSA,https://websensa.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United States,📣We help product managers implement Artificial Intelligence into products by training models and developing data pipelines🏆14 years of experience in Data Science and analytics🥇Elite NVIDIA Partner.,Founded 2009,$100 - $149 / hr,50 - 249,+16507333335,"$25,000+",530 Lytton Ave,Data Monsters,https://datamonsters.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United Arab Emirates,"Proven tech and methodology boosted with the cutting-edge AI for better quality, faster releases, and cost efficiency.",Founded 2019,$50 - $99 / hr,2 - 9,+971585128256,"$50,000+",Cluster M,SpellSystems,https://www.spellsystems.com
Estonia,UVIK Software is a Python and Django Development Company with years of experience within the IT team augmentation scope.,Founded 2015,$50 - $99 / hr,10 - 49,,"$10,000+",Kentmanni põik,UVIK Software,https://uvik.net/?utm_source=clutch.co&utm_medium=referral
United States,Auxis was founded in 1997 with the purpose of providing a different alternative to the traditional consulting model. We are a management consulting and outsourcing firm focused on helping organizations,Founded 1997,Undisclosed,250 - 999,9542364000,"$50,000+","8151 Peters Road, 3rd Floor,",Auxis,https://www.auxis.com
United States,"Headquartered in New York City, HubSpire delivers digital transformation and technology services to translate robust ideas into effective solutions, enabling our global clients to outperform their competition. We are an award-winning app development company with recent mentions from Clutch, AppFutura and Small Business Awards. We work with small businesses, startups, government agencies and large corporations and our client reviews speak to the high rate of customer satisfaction given our innovative and user-centric methodology.We take an agile, consultative and collaborative approach to creating customized solutions across the digital value chain. Whether you need to differentiate your company, reinvent and secure business functions or accelerate revenue growth, we can get you there. We work with you to understand your business and devise customized solutions, maximize application availability, agility, and predictability. The result? Lower costs, less risk, greater ROI, a faster response to market opportunities and the support you need to achieve your long-term objectives.Save & ContinueOur areas of expertise include digital transformation, enterprise mobility, data analytics, IoT integration, cybersecurity advisory services and artificial intelligence (AI) solutions.  #InspireToghether",Founded 2008,$50 - $99 / hr,10 - 49,6462344550,"$10,000+",175 Varick St,HubSpire,https://www.hubspire.com/?utm_source=clutch&utm_medium=+listing&utm_id=hubspire
Bulgaria,Childish is a software development consulting company focused on Data Science and Artificial Intelligence and all their powerful capabilities.,Founded 2018,$25 - $49 / hr,50 - 249,+359897443204,"$25,000+",31 Alexander Malinov Str.,Childish.ai,https://www.childish.ai
United Kingdom,"At Exometrics, we use the state-of-the-art Machine Learning and Advanced Data Analytics to help businesses solve complex problems. Work with our experienced team to transform your organization.",Founded 2016,$100 - $149 / hr,10 - 49,+44 (0) 1892 313254,"$25,000+",13b The Vale,Exometrics,https://www.exo-metrics.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
South Africa,"SIVOXI® is a leading South African, all-inclusive, software engineering and development company who solves complex business problems by combining logic and creativity.",Founded 2016,$25 - $49 / hr,2 - 9,+27 60 803 9067,"$10,000+",35 Ferguson Road,SIVOXI®,http://www.sivoxi.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Portugal,"Altar.io is an Award-Winning Product & Software Development Company committed to providing end-to-end IT services in Web, Mobile & Cloud. From inception, UX/UI design, and development to Software deployment. Altar has successfully helped worldwide entrepreneurs and Business Leaders disrupt their industries.",Founded 2015,$50 - $99 / hr,10 - 49,+351919359369,"$25,000+",Rua Adriano Correia de Oliveira 4A,Altar.io,https://altar.io
Germany,"AI Superior provides end-to-end products and solutions based on big data, machine learning, and artificial intelligence. Our experienced team guided by PhD data scientists will build a solution that fulfils your requirements and allows flexibility for future evolution.",Founded 2019,$50 - $99 / hr,10 - 49,+4961513943874,"$10,000+",Robert-Bosch-Strasse 7,AI Superior,https://aisuperior.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United States,"eTeam is a seasoned digital product agency specializing in transformative growth for different types of businesses, from VC-backed startups to the largest company in the world, for the last decade.",Founded 2016,$50 - $99 / hr,50 - 249,+1 (213) 839-8500,"$25,000+",548 Market St #99737,eTeam,https://www.eteam.io/?utm_source=clutch.co&utm_medium=referral
India,"Simelabs is a leading software development company specializing in Artificial Intelligence, Machine Learning, Data Science, VR/AR, Mobility solutions, and Web applications. Our team of experienced developers and designers leverage the latest technologies and industry best practices to provide customized software solutions to businesses of all sizes.",Founded 2014,< $25 / hr,250 - 999,04844874290,"$10,000+","Unit no. 305 & 306 World Trade Center -Tower A, Infopark phase 1 SEZ, Infopark P.O",Simelabs,http://simelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Bulgaria,"Accedia is а professional IT services company, specializing in Technology Consulting, Software Development, and IT Operations Management. Founded in 2012 in Sofia, Bulgaria, Accedia has become one of the fastest growing technology companies in EMEA, according to Deloitte and Financial Times.",Founded 2012,$50 - $99 / hr,50 - 249,0035924442003,"$1,000+","13 Henrik Ibsen Str., Floor 8",Accedia,https://accedia.com/?utm_medium=referral&utm_source=clutch.co&utm_campaign=page+link
United States,ThirdEye Data leverages Artificial Intelligence & Data technologies to build AI applications for enterprises worldwide.,Founded 2010,$25 - $49 / hr,50 - 249,+14084625257,"$10,000+","333 West San Carlos Street, Suite 600",ThirdEye Data,https://thirdeyedata.ai/
Bulgaria,"Sciant is an IT solutions development partner serving specific industry sectors including Fintech and Banking, Logistics and Transport, Travel and Hospitality, working worldwide for both large enterprises and fast-growth startups.",Founded 2016,$25 - $49 / hr,50 - 249,00359899420440,"$10,000+","Sofia Tech Park, 111B Tzarigradsko Shose",Sciant,http://www.sciant.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
India,"DataToBiz is an AI & Data Science service company, with the motto of helping its clients to make data-driven decisions rather than relying on intuition. Our team of experts helps organizations in managing their data assets and finding the best ways to surface insights from their data.",Founded 2018,$25 - $49 / hr,10 - 49,07009935623,"$10,000+","F-429, Wotta Workspace",DataToBiz,https://www.datatobiz.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United States,"BIX Tech is highly qualified custom software development company with very strong data engineering, data science, BI and AI practices as well as stellar customer satisfacion ratings. We provide staff augmentation and project development services.",Founded 2014,$50 - $99 / hr,50 - 249,+1 (786) 558-1665,"$5,000+","299 Alhambra Circle , Suite 403",BIX Tech,https://bix-tech.com/tailored-tech-solutions/
Poland,Looking for custom product development tailored to your needs? Want to identify and unleash the power of AI for your business?,Founded 2017,$50 - $99 / hr,10 - 49,+48123337063,"$25,000+",Wadowicka 7,nexocode,https://nexocode.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United States,"HatchWorks is your trusted Digital Acceleration Partner, delivering unique solutions to drive better outcomes faster. We combine the expertise of a US boutique with the affordability and scale of nearshore delivery to design and build your unique solution in your time zone. With expertise in digital product transformation, experience and product design, digital acceleration strategy, and modernization, our outcome-obsessed team increases your speed to value with proven frameworks and the use of emerging technology.",Founded 2016,$50 - $99 / hr,50 - 249,404-429-1281,"$75,000+","5256 Peachtree Road, Suite 140",HatchWorks,https://www.hatchworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
